HASHTAG FILE relative_frequency_H_C  frequency_H_in_C  frequency_H_overall  count_H_in_C count_hashtags_in_C count_H_entire_dataset count_hashtags_entire_dataset
JusticeMatters 1003107003693137921.hashtags 153.03896103896103900061  .54545454545454545454  .00356415478615071283  6 11 14 3928
JusticeMatters 1003107003693137921.hashtags 153.03896103896103900061  .54545454545454545454  .00356415478615071283  6 11 14 3928
JusticeMatters 1003107003693137921.hashtags 153.03896103896103900061  .54545454545454545454  .00356415478615071283  6 11 14 3928
TrumpIsACriminal 1003107003693137921.hashtags 357.09090909090910001848  .09090909090909090909  .00025458248472505091  1 11 1 3928
TrumpIsATraitor 1003107003693137921.hashtags 357.09090909090910001848  .09090909090909090909  .00025458248472505091  1 11 1 3928
JusticeMatters 1003107003693137921.hashtags 153.03896103896103900061  .54545454545454545454  .00356415478615071283  6 11 14 3928
JusticeMatters 1003107003693137921.hashtags 153.03896103896103900061  .54545454545454545454  .00356415478615071283  6 11 14 3928
JusticeMatters 1003107003693137921.hashtags 153.03896103896103900061  .54545454545454545454  .00356415478615071283  6 11 14 3928
ArrestTrumpNow 1003107003693137921.hashtags 18.79425837320574163997  .09090909090909090909  .00483706720977596741  1 11 19 3928
TrumpCrimesCommission 1003107003693137921.hashtags 23.80606060606060610683  .09090909090909090909  .00381873727087576374  1 11 15 3928
TrumpGQPdeathKKKult 1003107003693137921.hashtags 15.52569169960474310785  .09090909090909090909  .00585539714867617107  1 11 23 3928
Tuckyorose 1005846500583321601.hashtags 392.80000000000001002425  .10000000000000000000  .00025458248472505091  1 10 1 3928
Russian 1005846500583321601.hashtags 1.49923664122137404585  .10000000000000000000  .06670061099796334012  1 10 262 3928
Moscow 1005846500583321601.hashtags 15.10769230769230771266  .10000000000000000000  .00661914460285132382  1 10 26 3928
IStandWithUkraine 1005846500583321601.hashtags 15.71200000000000000598  .10000000000000000000  .00636456211812627291  1 10 25 3928
SlavaUkraini 1005846500583321601.hashtags 20.67368421052631580418  .10000000000000000000  .00483706720977596741  1 10 19 3928
BeFierce 1005846500583321601.hashtags 392.80000000000001002425  .10000000000000000000  .00025458248472505091  1 10 1 3928
antisemitism 1005846500583321601.hashtags 26.18666666666666671778  .10000000000000000000  .00381873727087576374  1 10 15 3928
NatanSharansky 1005846500583321601.hashtags 130.93333333333333496039  .10000000000000000000  .00076374745417515274  1 10 3 3928
WarCriminalPutin 1005846500583321601.hashtags 130.93333333333333496039  .10000000000000000000  .00076374745417515274  1 10 3 3928
BabiYar 1005846500583321601.hashtags 392.80000000000001002425  .10000000000000000000  .00025458248472505091  1 10 1 3928
PutinHitler 1020602380096696320.hashtags 3.88603086664028492325  .26315789473684210526  .06771894093686354378  5 19 266 3928
StandWithUkraine 1020602380096696320.hashtags 1.53138401559454191027  .15789473684210526315  .10310590631364562118  3 19 405 3928
PutinHitler 1020602380096696320.hashtags 3.88603086664028492325  .26315789473684210526  .06771894093686354378  5 19 266 3928
PutinWarCriminal 1020602380096696320.hashtags 2.12037786774628879910  .10526315789473684210  .04964358452138492871  2 19 195 3928
StopPutinNOW 1020602380096696320.hashtags 2.84500241429261226478  .15789473684210526315  .05549898167006109979  3 19 218 3928
RussiaSanctions 1020602380096696320.hashtags 2.95338345864661654144  .15789473684210526315  .05346232179226069246  3 19 210 3928
BoycottRussia 1020602380096696320.hashtags 2.98178137651821862340  .15789473684210526315  .05295315682281059063  3 19 208 3928
PutinHitler 1020602380096696320.hashtags 3.88603086664028492325  .26315789473684210526  .06771894093686354378  5 19 266 3928
StandWithUkraine 1020602380096696320.hashtags 1.53138401559454191027  .15789473684210526315  .10310590631364562118  3 19 405 3928
PutinHitler 1020602380096696320.hashtags 3.88603086664028492325  .26315789473684210526  .06771894093686354378  5 19 266 3928
