HASHTAG FILE relative_frequency_H_C  frequency_H_in_C  frequency_H_overall  count_H_in_C count_hashtags_in_C count_H_entire_dataset count_hashtags_entire_dataset
KovidKenney 1001228776032763905.hashtags 5663.00000000000121669555  .20000000000000000000  .00003531696980399081  1 5 1 28315
UnsafeSchoolsAB 1001228776032763905.hashtags 5663.00000000000121669555  .20000000000000000000  .00003531696980399081  1 5 1 28315
COVIDisAirborne 1001228776032763905.hashtags 55.51960784313725496300  .20000000000000000000  .00360233092000706339  1 5 102 28315
N95sForAll 1001228776032763905.hashtags 2831.50000000000020747816  .20000000000000000000  .00007063393960798163  1 5 2 28315
VentilationMatters 1001228776032763905.hashtags 5663.00000000000121669555  .20000000000000000000  .00003531696980399081  1 5 1 28315
TeamJustice 1003107003693137921.hashtags 1887.66666666666675151728  .33333333333333333333  .00017658484901995408  5 15 5 28315
JusticeMatters 1003107003693137921.hashtags 999.35294117647060320501  .60000000000000000000  .00060038848666784389  9 15 17 28315
JusticeMatters 1003107003693137921.hashtags 999.35294117647060320501  .60000000000000000000  .00060038848666784389  9 15 17 28315
JusticeMatters 1003107003693137921.hashtags 999.35294117647060320501  .60000000000000000000  .00060038848666784389  9 15 17 28315
JusticeMatters 1003107003693137921.hashtags 999.35294117647060320501  .60000000000000000000  .00060038848666784389  9 15 17 28315
TeamJustice 1003107003693137921.hashtags 1887.66666666666675151728  .33333333333333333333  .00017658484901995408  5 15 5 28315
JusticeMatters 1003107003693137921.hashtags 999.35294117647060320501  .60000000000000000000  .00060038848666784389  9 15 17 28315
JusticeMatters 1003107003693137921.hashtags 999.35294117647060320501  .60000000000000000000  .00060038848666784389  9 15 17 28315
TeamJustice 1003107003693137921.hashtags 1887.66666666666675151728  .33333333333333333333  .00017658484901995408  5 15 5 28315
JusticeMatters 1003107003693137921.hashtags 999.35294117647060320501  .60000000000000000000  .00060038848666784389  9 15 17 28315
TeamJustice 1003107003693137921.hashtags 1887.66666666666675151728  .33333333333333333333  .00017658484901995408  5 15 5 28315
JusticeMatters 1003107003693137921.hashtags 999.35294117647060320501  .60000000000000000000  .00060038848666784389  9 15 17 28315
TeamJustice 1003107003693137921.hashtags 1887.66666666666675151728  .33333333333333333333  .00017658484901995408  5 15 5 28315
MalteseMatter 1003107003693137921.hashtags 1887.66666666666707204308  .06666666666666666666  .00003531696980399081  1 15 1 28315
JusticeMatters 1003107003693137921.hashtags 999.35294117647060320501  .60000000000000000000  .00060038848666784389  9 15 17 28315
TruckerTantrum2022 1003662615661436929.hashtags 14157.50000000000304173887  .50000000000000000000  .00003531696980399081  1 2 1 28315
FluTruckKlan 1003662615661436929.hashtags 4719.16666666666678975826  .50000000000000000000  .00010595090941197245  1 2 3 28315
Covid19 100380798.hashtags 58.62318840579710146563  .33333333333333333333  .00568603213844252163  1 3 161 28315
Covid 100380798.hashtags 18.91449565798263193375  1.00000000000000000000  .05286950379657425392  3 3 1497 28315
Covid 100380798.hashtags 18.91449565798263193375  1.00000000000000000000  .05286950379657425392  3 3 1497 28315
Ukraine 1003895325025865730.hashtags 4.21856376638855780708  .50000000000000000000  .11852375066219318382  3 6 3356 28315
Russia 1003895325025865730.hashtags 4.71209851888833416593  .33333333333333333333  .07073989051739360762  2 6 2003 28315
Ukraine 1003895325025865730.hashtags 4.21856376638855780708  .50000000000000000000  .11852375066219318382  3 6 3356 28315
Russia 1003895325025865730.hashtags 4.71209851888833416593  .33333333333333333333  .07073989051739360762  2 6 2003 28315
Ukraine 1003895325025865730.hashtags 4.21856376638855780708  .50000000000000000000  .11852375066219318382  3 6 3356 28315
Kramatorsk 1003895325025865730.hashtags 294.94791666666666738855  .16666666666666666666  .00056507151686385308  1 6 16 28315
AdoptDontShop 1004085488859385863.hashtags 2022.50000000000002548350  .50000000000000000000  .00024721878862793572  4 8 7 28315
dogsoftwitter 1004085488859385863.hashtags 524.35185185185185453090  .50000000000000000000  .00095355818470775207  4 8 27 28315
AdoptDontShop 1004085488859385863.hashtags 2022.50000000000002548350  .50000000000000000000  .00024721878862793572  4 8 7 28315
dogsoftwitter 1004085488859385863.hashtags 524.35185185185185453090  .50000000000000000000  .00095355818470775207  4 8 27 28315
AdoptDontShop 1004085488859385863.hashtags 2022.50000000000002548350  .50000000000000000000  .00024721878862793572  4 8 7 28315
dogsoftwitter 1004085488859385863.hashtags 524.35185185185185453090  .50000000000000000000  .00095355818470775207  4 8 27 28315
AdoptDontShop 1004085488859385863.hashtags 2022.50000000000002548350  .50000000000000000000  .00024721878862793572  4 8 7 28315
dogsoftwitter 1004085488859385863.hashtags 524.35185185185185453090  .50000000000000000000  .00095355818470775207  4 8 27 28315
corsirosenthalbox 1005148131091275777.hashtags 858.03030303030303059684  1.00000000000000000000  .00116546000353169698  3 3 33 28315
corsirosenthalbox 1005148131091275777.hashtags 858.03030303030303059684  1.00000000000000000000  .00116546000353169698  3 3 33 28315
